Tags,Subcategory,Sub-area,SFIA_Code,Level,Skill,Capability_ID,Capability_Description,Evidence_Type,Evidence_Metric,What it covers
UIUX,User centred design,User centred design,HCEV,2,User experience design,HCEV_2_01,Design basic interface elements and interactions,Task,% of interfaces meeting requirements,"Designing interfaces, interactions, and workflows"
UIUX,User centred design,User centred design,HCEV,3,User experience design,HCEV_3_01,Create wireframes and interaction flows,Design Task,Accuracy of wireframes (%),"Designing interfaces, interactions, and workflows"
UIUX,User centred design,User centred design,HCEV,4,User experience design,HCEV_4_01,Design end-to-end user interactions and workflows,Design Task,Completeness of workflows (%),"Designing interfaces, interactions, and workflows"
UIUX,User centred design,User centred design,HCEV,4,User experience design,HCEV_4_02,Apply usability and accessibility principles,Review Task,% compliance with principles,"Designing interfaces, interactions, and workflows"
UIUX,User centred design,User centred design,HCEV,5,User experience design,HCEV_5_01,Define interaction design standards and patterns,Governance Task,Adoption rate of standards (%),"Designing interfaces, interactions, and workflows"
UIUX,User centred design,User centred design,HCEV,6,User experience design,HCEV_6_01,Lead organisational interaction design strategy,Leadership Task,Stakeholder satisfaction rate (%),"Designing interfaces, interactions, and workflows"
UIUX,User centred design,User centred design,USEV,2,User experience evaluation,USEV_2_01,Support usability testing activities,Task,% of tests executed correctly,Evaluating designs through usability testing and feedback
UIUX,User centred design,User centred design,USEV,3,User experience evaluation,USEV_3_01,Conduct usability tests and gather feedback,Task,Completeness and accuracy of test feedback (%),Evaluating designs through usability testing and feedback
UIUX,User centred design,User centred design,USEV,4,User experience evaluation,USEV_4_01,Analyse evaluation results and recommend changes,Analysis Task,% of recommendations implemented,Evaluating designs through usability testing and feedback
UIUX,User centred design,User centred design,USEV,5,User experience evaluation,USEV_5_01,Plan and manage UX evaluation programmes,Leadership Task,% of evaluation goals achieved,Evaluating designs through usability testing and feedback
UIUX,User centred design,User centred design,USEV,6,User experience evaluation,USEV_6_01,Define evaluation frameworks and success metrics,Governance Task,Adoption of frameworks (%),Evaluating designs through usability testing and feedback
"CONTENT, UIUX",Content management,Content management,INCA,1,Content design and authoring,INCA_1_01,Create simple digital content following templates,Task,% of content meeting template standards,"Creating structured, user-focused digital content"
"CONTENT, UIUX",Content management,Content management,INCA,2,Content design and authoring,INCA_2_01,"Write clear, structured user-focused content",Task,% clarity and completeness of content,"Creating structured, user-focused digital content"
"CONTENT, UIUX",Content management,Content management,INCA,3,Content design and authoring,INCA_3_01,Design content structures and information hierarchy,Design Task,Stakeholder approval of structure (%),"Creating structured, user-focused digital content"
"CONTENT, UIUX",Content management,Content management,INCA,4,Content design and authoring,INCA_4_01,Apply content standards and tone of voice,Review Task,% adherence to content standards,"Creating structured, user-focused digital content"
"CONTENT, UIUX",Content management,Content management,INCA,5,Content design and authoring,INCA_5_01,Define content strategy and governance,Governance Task,Adoption of content strategy (%),"Creating structured, user-focused digital content"
"CONTENT, UIUX",Content management,Content management,INCA,6,Content design and authoring,INCA_6_01,Lead organisational content design capability,Leadership Task,Stakeholder satisfaction rate (%),"Creating structured, user-focused digital content"
CONTENT,Content management,Content management,KNOW,2,Knowledge management,KNOW_2_01,Capture and organise knowledge assets,Task,% of assets correctly documented,"Capturing, structuring, and sharing organisational knowledge"
CONTENT,Content management,Content management,KNOW,3,Knowledge management,KNOW_3_01,Maintain knowledge repositories and taxonomies,Task,% of repositories up-to-date,"Capturing, structuring, and sharing organisational knowledge"
CONTENT,Content management,Content management,KNOW,4,Knowledge management,KNOW_4_01,Design knowledge sharing processes,Design Task,Stakeholder adoption rate (%),"Capturing, structuring, and sharing organisational knowledge"
CONTENT,Content management,Content management,KNOW,5,Knowledge management,KNOW_5_01,Define organisational knowledge management strategy,Governance Task,Alignment with organisational goals (%),"Capturing, structuring, and sharing organisational knowledge"
CONTENT,Content management,Content management,KNOW,6,Knowledge management,KNOW_6_01,Integrate knowledge systems across functions,Strategic Task,# of systems successfully integrated,"Capturing, structuring, and sharing organisational knowledge"
CONTENT,Content management,Content management,KNOW,7,Knowledge management,KNOW_7_01,Set enterprise-wide knowledge governance,Leadership Task,Compliance with governance framework (%),"Capturing, structuring, and sharing organisational knowledge"
UIUX,Content management,Content management,GRDN,1,Graphic design,GRDN_1_01,Create basic visual assets,Task,% of assets meeting quality standards,"Designing visual assets, branding, and graphical elements"
UIUX,Content management,Content management,GRDN,2,Graphic design,GRDN_2_01,Design graphics following brand guidelines,Task,% adherence to brand guidelines,"Designing visual assets, branding, and graphical elements"
UIUX,Content management,Content management,GRDN,3,Graphic design,GRDN_3_01,Produce consistent visual designs across products,Review Task,Consistency score across designs (%),"Designing visual assets, branding, and graphical elements"
UIUX,Content management,Content management,GRDN,4,Graphic design,GRDN_4_01,Develop visual design systems,Design Task,Completeness and usability of design system (%),"Designing visual assets, branding, and graphical elements"
UIUX,Content management,Content management,GRDN,5,Graphic design,GRDN_5_01,Define organisational visual identity,Governance Task,Stakeholder adoption rate (%),"Designing visual assets, branding, and graphical elements"
"SCIENCE, DATA",Computational science,Computational science,SCMO,4,Scientic modelling,SCMO_4_01,Develop computational models of systems,Task,Accuracy of model predictions (%),Developing mathematical and simulation models of real-world systems
"SCIENCE, DATA",Computational science,Computational science,SCMO,5,Scientic modelling,SCMO_5_01,Validate and refine simulation models,Review Task,% of models validated successfully,Developing mathematical and simulation models of real-world systems
"SCIENCE, DATA",Computational science,Computational science,SCMO,6,Scientic modelling,SCMO_6_01,Lead complex modelling initiatives,Leadership Task,Stakeholder satisfaction rate (%),Developing mathematical and simulation models of real-world systems
"SCIENCE, DATA",Computational science,Computational science,SCMO,7,Scientic modelling,SCMO_7_01,Define modelling standards and research direction,Governance Task,Adoption of standards (%),Developing mathematical and simulation models of real-world systems
"SCIENCE, DATA",Computational science,Computational science,NUAN,4,Numerical analysis,NUAN_4_01,Apply numerical methods to solve problems,Task,Accuracy of numerical solutions (%),Applying numerical methods to solve complex mathematical problems
"SCIENCE, DATA",Computational science,Computational science,NUAN,5,Numerical analysis,NUAN_5_01,Optimise numerical algorithms,Optimization Task,Improvement in computational efficiency (%),Applying numerical methods to solve complex mathematical problems
"SCIENCE, DATA",Computational science,Computational science,NUAN,6,Numerical analysis,NUAN_6_01,Lead numerical analysis for complex systems,Leadership Task,Success rate of analyses (%),Applying numerical methods to solve complex mathematical problems
"SCIENCE, DATA",Computational science,Computational science,NUAN,7,Numerical analysis,NUAN_7_01,Define organisational numerical computation strategy,Strategic Task,Alignment with organisational objectives (%),Applying numerical methods to solve complex mathematical problems
"SCIENCE, CLOUD",Computational science,Computational science,HPCC,4,High-performance computing,HPCC_4_01,Develop software for parallel execution,Task,% of code executing correctly in parallel,Developing and optimising software for parallel and high-performance systems
"SCIENCE, CLOUD",Computational science,Computational science,HPCC,5,High-performance computing,HPCC_5_01,Optimise applications for high-performance systems,Optimization Task,Performance improvement (%),Developing and optimising software for parallel and high-performance systems
"SCIENCE, CLOUD",Computational science,Computational science,HPCC,6,High-performance computing,HPCC_6_01,Architect scalable and HPC solutions,Design Task,Scalability and reliability metrics met (%),Developing and optimising software for parallel and high-performance systems
"SCIENCE, CLOUD",Computational science,Computational science,HPCC,7,High-performance computing,HPCC_7_01,Define enterprise HPC strategy and capability,Strategic Task,Stakeholder adoption rate (%),Developing and optimising software for parallel and high-performance systems
